Loading 7 scene(s): ['07-004', '10-003', '12-002', '16-002', '17-004', '22-005', '18-003']
train patches: 2349, val patches: 423
class weights: {'background': 0.5049043893814087, 'line_marking': 5.861933708190918, 'crosswalk': 4.554579257965088, 'other': 20.0}
epoch 56/80  loss=1.0659  val_mIoU=0.5124  {'background': 0.963, 'line_marking': 0.1337, 'crosswalk': 0.4404, 'other': None}  (21.8s)
epoch 57/80  loss=1.0713  val_mIoU=0.5085  {'background': 0.9599, 'line_marking': 0.1399, 'crosswalk': 0.4258, 'other': None}  (21.8s)
epoch 58/80  loss=1.0629  val_mIoU=0.5168  {'background': 0.9606, 'line_marking': 0.151, 'crosswalk': 0.4387, 'other': None}  (21.7s)
epoch 59/80  loss=1.0586  val_mIoU=0.5247  {'background': 0.9599, 'line_marking': 0.1553, 'crosswalk': 0.4588, 'other': None}  (21.8s)
epoch 60/80  loss=1.0607  val_mIoU=0.5091  {'background': 0.9574, 'line_marking': 0.1458, 'crosswalk': 0.4242, 'other': None}  (21.8s)
epoch 61/80  loss=1.0559  val_mIoU=0.5124  {'background': 0.9567, 'line_marking': 0.1563, 'crosswalk': 0.4243, 'other': None}  (21.8s)
epoch 62/80  loss=1.0610  val_mIoU=0.5160  {'background': 0.959, 'line_marking': 0.1625, 'crosswalk': 0.4266, 'other': None}  (21.8s)
epoch 63/80  loss=1.0735  val_mIoU=0.4960  {'background': 0.9536, 'line_marking': 0.1499, 'crosswalk': 0.3844, 'other': None}  (21.7s)
epoch 64/80  loss=1.0592  val_mIoU=0.5157  {'background': 0.9611, 'line_marking': 0.146, 'crosswalk': 0.4401, 'other': None}  (21.8s)
epoch 65/80  loss=1.0582  val_mIoU=0.5116  {'background': 0.9591, 'line_marking': 0.1488, 'crosswalk': 0.4267, 'other': None}  (21.8s)
epoch 66/80  loss=1.0484  val_mIoU=0.5194  {'background': 0.9592, 'line_marking': 0.1534, 'crosswalk': 0.4456, 'other': None}  (21.8s)
epoch 67/80  loss=1.0605  val_mIoU=0.5188  {'background': 0.9614, 'line_marking': 0.1483, 'crosswalk': 0.4467, 'other': None}  (21.7s)
epoch 68/80  loss=1.0491  val_mIoU=0.5141  {'background': 0.9607, 'line_marking': 0.1429, 'crosswalk': 0.4388, 'other': None}  (21.8s)
epoch 69/80  loss=1.0473  val_mIoU=0.5136  {'background': 0.9595, 'line_marking': 0.1448, 'crosswalk': 0.4365, 'other': None}  (21.8s)
epoch 70/80  loss=1.0483  val_mIoU=0.5176  {'background': 0.9607, 'line_marking': 0.155, 'crosswalk': 0.4369, 'other': None}  (21.8s)
epoch 71/80  loss=1.0504  val_mIoU=0.5122  {'background': 0.9611, 'line_marking': 0.1407, 'crosswalk': 0.4347, 'other': None}  (21.7s)
epoch 72/80  loss=1.0464  val_mIoU=0.5082  {'background': 0.9622, 'line_marking': 0.134, 'crosswalk': 0.4285, 'other': None}  (22.2s)
epoch 73/80  loss=1.0388  val_mIoU=0.5106  {'background': 0.9607, 'line_marking': 0.1429, 'crosswalk': 0.428, 'other': None}  (23.4s)
epoch 74/80  loss=1.0507  val_mIoU=0.5137  {'background': 0.9593, 'line_marking': 0.1498, 'crosswalk': 0.4319, 'other': None}  (23.6s)
epoch 75/80  loss=1.0513  val_mIoU=0.5124  {'background': 0.9605, 'line_marking': 0.1442, 'crosswalk': 0.4325, 'other': None}  (23.2s)
epoch 76/80  loss=1.0387  val_mIoU=0.5136  {'background': 0.9588, 'line_marking': 0.1457, 'crosswalk': 0.4363, 'other': None}  (23.0s)
epoch 77/80  loss=1.0402  val_mIoU=0.5146  {'background': 0.9602, 'line_marking': 0.1467, 'crosswalk': 0.4369, 'other': None}  (23.0s)
epoch 78/80  loss=1.0374  val_mIoU=0.5159  {'background': 0.9601, 'line_marking': 0.1477, 'crosswalk': 0.4399, 'other': None}  (23.0s)
epoch 79/80  loss=1.0532  val_mIoU=0.5116  {'background': 0.9594, 'line_marking': 0.1452, 'crosswalk': 0.4303, 'other': None}  (22.9s)
epoch 80/80  loss=1.0475  val_mIoU=0.5116  {'background': 0.9603, 'line_marking': 0.1439, 'crosswalk': 0.4306, 'other': None}  (22.7s)
Done. best val mIoU=0.5247. Checkpoints in checkpoints_v5
